"Fijian","fij",337320,"Oceania","Austronesian",0,"Фиджи","Fidschi","フィジー語","Fidjiano","Fidjien","斐濟語","Fijiano","Figiano","Fidżijski","Fijisch","Ffijïeg"
"Kannada","kan",37739040,"Indic","Dravidian",0,"Каннада","","カンナダ語","Canarés","Kannada","卡纳达语","Canarês","Lingua kannada","Język kannada","",""
"Shona","sna",10741700,"","Atlantic-Congo",0,"Шона","","ショナ語","Idioma shona","Shona","","Língua chona","Lingua shona","Szona","",""
"Dinka","dip",1365900,"","Nilotic",0,"","","","","","","","","","",""
"Hausa","hau",24988000,"African","Afro-Asiatic",0,"Хауса","","ハウサ語","Idioma hausa","Haoussa","豪萨语","Haúça","Haussa","Język hausa","","Hawsa"
"Tigrinya","tir",6915000,"","Afro-Asiatic",0,"Тигринья","Tigrinja","ティグリニア語","Tigriña","Tigrigna","提格利尼亞語","Tigre","Lingua tigrina","Tigrinia","","Tigriniaeg"
"Maori","mri",148660,"Oceania","Austronesian",0,"Маори","Maorische sprache","マオリ語","Maorí","Maori de nouvelle-zélande","毛利语","Língua maori","Lingua māori","Maoryjski","",""
"Dari","prs",9600000,"","Indo-European",0,"","","","","","","","","","",""
"Scottish Gaelic","gla",63130,"","Indo-European",0,"Гэльский","Schottisches gälisch","スコットランド・ゲール語","Gaélico escocés","Gaélique","加拿大苏格兰盖尔语","Gaélico escocês","Gaelico scozzese","Szkocki gaelicki","Schots gaelic","Gaeleg yr alban"
"Bangla","ben",193261200,"","Indo-European",0,"Бенгальский","Bengalisch","ベンガル語","Bengalí","Bengali","孟加拉语","Língua bengali","Bengalese","Bengalski","Bengaals","Bengaleg"
"Maltese","mlt",522000,"Europe","Afro-Asiatic",0,"Мальтийский","Maltesisch","マルタ語","Maltés","Maltais","马耳他语","Maltês","Lingua maltese","Maltański","Maltees","Malteg"
"Nepali","nep",15360100,"","Indo-European",0,"Непальский","Nepalesisch","ネパール語","Nepalí","Népalais","尼泊尔语","Língua nepali","Nepalese","Nepalski","Nepalees","Nepaleg"
"Malay","zsm",15848500,"SoutheastAsia","Austronesian",0,"Малайский","Malaiisch","マレー語","Malayo","Malais","","Malaio","Malese","Malajski","Maleis","Malai"
"Indonesian","ind",23200480,"SoutheastAsia","Austronesian",0,"Индонезийский","Indonesisch","インドネシア語","Indonesio","Indonésien","印尼语","Indonésio","Indonesiano","Indonezyjski","Indonesisch","Indoneseg"
"Amharic","amh",21811600,"GreaterAbyssinia","Afro-Asiatic",0,"Амхарский","Amharisch","アムハラ語","Amárico","Amharique","","Amárico","Amarico","Amharski","Amhaars","Amhareg"
"Samoan","smo",413257,"","Austronesian",0,"Самоанский","Samoanisch","サモア語","Samoano","Samoan","薩摩亞語","Samoano","Samoano","Samoański","Samoaans","Samöeg"
"Sinhalese","sin",15579980,"Asia","Indo-European",0,"Сингальский","Singhalesisch","シンハラ語","Cingalés","Cingalais","僧伽罗语","Cingalês","Singalese","Syngaleski","Singalees","Sinhaleg"
"Basque","eus",545872,"","Isolate",0,"Баскский","Baskisch","バスク語","Vasco","Basque","巴斯克語","Basco","Basco","Baskijski","Baskisch","Basgeg"
"Tongan","ton",169120,"","Austronesian",0,"Тонга","Tongaisch","トンガ語","Tongano","Tongien","湯加語","Tonganês","Tongano","Język tonga","Tongaans","Tongeg"
"Hindi","hin",260333620,"Europe","Indo-European",0,"Хинди","","ヒンディー語","","","","Híndi","","","",""
"Northern Sami","sma",20700,"","Uralic",0,"Саамский (южный)","Süd-samisch","南サーミ語","Sami meridional","Same du sud","","Sami do sul","Sami del sud","Lapoński południowy","Zuid-samisch","Sami deheuol"
"Tamil","tam",68763360,"","Dravidian",0,"Тамильский","Tamilisch","タミル語","Idioma tamil","Tamoul","泰米尔语","Tâmil","Lingua tamil","Tamilski","","Tamileg"
